"과목 및 유형",2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025
"과목 및 유형",평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%)
"대상분포(%)",100,10.3076,20.08542,29.9178,19.99803,19.69115,100,10.23984,20.16216,29.8287,20.07464,19.69465,100,10.36898,20.2275,30.04033,20.03318,19.33002,100,10.33971,20.21174,29.93446,20.07663,19.43746,100,10.31551,20.31979,29.88853,20.03498,19.44119,100,10.27966,20.35355,29.91636,20.09631,19.35413,100,10.37712,20.36783,30.02433,19.95368,19.27704,100,10.5049,20.34997,30.01061,19.85277,19.28175,100,10.33191,20.31704,29.99441,20.03815,19.31849,100,10.49878,20.53871,30.05632,19.88014,19.02606
"사교육 참여",67.76887,77.84998,74.88792,69.66934,64.27349,55.89253,71.17437,79.17924,77.6065,72.94957,68.37462,60.59271,58.54687,65.77809,64.89168,61.02442,55.47628,47.36051,60.95417,72.2964,67.81284,62.7788,57.18161,48.87545,61.5556,73.11227,68.89639,63.14124,57.18792,49.81444,64.56098,74.56152,72.03091,67.35074,60.12901,51.68334,65.95943,77.52857,73.63809,67.49115,61.35834,53.99532,66.43317,76.06372,73.67484,69.06958,62.06572,53.93688,67.29764,76.60275,74.25954,69.5197,63.32144,55.67362,62.95133,73.76539,69.99431,65.45868,58.46669,50.10605
"과목: 일반교과 사교육",50.98666,62.62319,60.42933,53.69287,47.4051,34.78931,52.15243,64.02382,61.3353,54.95714,48.06031,36.50246,45.51699,59.63295,57.20196,50.1447,39.08189,25.19483,49.70089,66.85127,61.52016,53.39203,42.85411,29.67512,51.3561,68.19596,62.66161,55.29141,44.43035,31.69162,54.54612,69.72104,66.25096,58.48933,48.99898,33.84161,55.39275,72.57203,67.93728,59.17528,48.3134,34.32699,56.10497,71.96413,67.68821,60.57522,49.33054,35.25722,56.16387,71.98402,68.23632,60.79757,50.13358,34.06701,50.51746,68.05889,63.35275,54.74895,42.91606,28.24012
"국어",17.68226,18.64143,19.57367,18.17555,18.1534,14.02292,18.93849,21.07935,20.68746,19.74959,18.62322,15.12782,16.0161,24.30988,21.1419,17.74969,12.33832,7.32079,18.88902,29.74712,24.42502,20.56289,14.94807,8.84927,20.25144,31.52328,27.47577,21.11608,15.35057,10.44107,23.92993,35.77861,30.23905,25.1478,19.76369,13.44527,25.79266,38.01798,34.72089,26.61627,20.57544,13.89573,26.89985,40.77925,34.36777,28.85572,22.03172,13.42467,27.51703,43.50449,36.99134,29.02168,21.66591,12.73552,25.46708,40.69082,34.02794,27.16654,19.04997,11.84542
"영어",39.14595,48.7958,47.97218,42.38486,35.87881,23.48865,39.76261,51.13706,49.26414,42.45501,35.54327,24.34455,32.47228,42.07558,41.31679,36.12943,27.81869,17.20513,36.34854,49.86732,46.09545,40.05821,30.28456,19.5724,38.58705,51.94837,48.05127,42.06176,32.99916,22.02219,41.00471,52.1422,50.41885,44.92598,36.41832,23.88994,42.09125,55.86205,52.9037,46.2006,35.34701,23.83456,42.43945,55.91277,53.17101,46.08772,36.67566,24.02916,42.90751,56.09528,53.40108,47.21267,37.22171,24.03174,38.57856,52.53038,50.35889,42.20256,31.82079,19.49901
"수학",42.25128,52.04033,49.91781,44.68941,39.40059,28.49775,43.25619,53.13623,51.2904,45.82512,39.98902,29.33376,38.00483,52.45575,49.30326,41.78111,31.21045,19.60301,41.68423,59.24409,54.00162,44.97298,34.0739,22.33103,44.16417,61.37749,56.54486,47.40705,36.32043,25.18831,45.56708,62.50833,57.33602,48.81164,38.86434,26.13687,46.67422,65.65909,59.08275,50.09281,38.67684,26.29731,47.44735,64.04,59.97947,51.87141,39.14945,26.83899,46.90677,64.04772,60.54605,50.76365,39.1247,25.47884,42.19382,60.11583,55.06288,45.88935,34.61424,20.49391
"사회, 과학",10.40545,13.64068,13.00114,10.83974,9.9158,5.9017,11.23678,15.3492,13.49326,11.72417,10.31386,6.99112,7.57983,10.93873,10.00556,8.5375,5.73617,3.66213,9.61246,15.64445,12.34843,10.35714,7.49105,4.60311,10.67873,17.66908,14.55083,11.05936,7.82117,5.28223,13.18657,20.61343,17.14386,13.65559,10.32452,7.32708,14.26446,21.42245,18.43227,15.1796,11.63642,7.30253,15.00126,23.42893,20.27871,15.75552,11.29754,7.47941,14.98587,24.33437,20.44598,15.72513,11.80181,6.39866,13.34132,24.11865,17.9634,13.96128,9.14615,5.80886
"논술",7.58121,11.0099,9.93824,7.90434,6.16897,4.32547,7.57598,10.23884,9.71352,7.96967,6.40923,4.59622,1.90569,2.2055,3.37418,1.99463,1.48733,0.50355,2.27688,3.23932,3.52014,2.35139,1.67956,0.97432,1.72982,1.97926,2.05153,1.91045,1.61706,1.09973,1.74956,1.82532,2.36954,1.64231,1.84576,1.12321,1.94893,1.49452,2.43967,2.13798,2.09165,1.23285,1.6035,1.63522,1.67699,1.86065,1.63435,1.07663,1.75903,1.98823,2.2104,2.16905,1.43256,0.86379,2.18991,2.11442,2.61724,2.6058,1.71227,1.61235
